,Season,Episode,Character,Line,prob,class
566,10,3,al-Zawahri,"We are so super pissed off at 'Family Guy'. 'Family Guy' isn't even that funny of a show. A jihad on 'Family Guy', and the 'Family Guy' nation!",97.88520932197572,1
584,10,3,Michael,"After those bad guys, KITT! ",97.90398478507996,1
604,10,3,Stan,"Yeah, you rip on people's religion all the time!",98.30207824707033,1
605,10,3,Cartman,"That's different! I'm just a little boy! That's a cartoon! Millions of people watch it! How would you feel, Kyle, if there was a cartoon on television that made fun of Jews all the time?! H?!",95.38232088088988,1
615,10,3,Sheila,You boys don't understand anything! It's obvious that you ALL need Muslim-sensitivity training!,96.61145210266112,1
617,10,3,Kyle,"No, Muslims can't show an image of Mohammad.",99.22974705696106,1
620,10,3,Mrs. Garrison,"Let's all look at why Muslims are upset:  First of all, in the Muslim religion, you're not allowed to have what?  Sex. Good.  There's no sex until marriage in the Muslim world.  Now, this would be fine except that in the Muslim religion you also can't... Anybody?  Jack off.  Okay, jacking it is strictly forbidden in the Muslim religion.  And what do we know about the places Muslims live? They live in?  Good, sand.  Now put yourself in the shoes of a Muslim. It's Friday night, but you can't have sex, and you can't jack off. There's sand in your eyes and probably in the crack of your ass, and then some cartoon comes along from a country where people are getting laid, and mocks your prophet. Well you know what? I'd be pretty pissed off too!",98.4990417957306,1
621,10,3,Cartman,"Mrs. Garrison, that is ignorant and racist! Muslims are mad because of Family Guy, not because they can't jack off! Right, Wendy?",99.60309863090517,1
624,10,3,Stan,The hell's going on now?!,98.28118681907654,1
631,10,3,Randy,FAMILY GUY!!!  I DAMN YOU TO HELL!!!,99.70982074737547,1
635,10,3,Cartman,Goddamned Family Guy! Now they're just provoking people! It's like they want a holy war!,98.24610352516174,1
645,10,3,Cartman,"Intimidated?! Is that what you think this is about, Kyle?",96.23819589614868,1
646,10,3,Kyle,"All right dude, what the hell has gotten into you?! I don't trust for one second that your sudden concern for the Muslim people is real!",98.1137752532959,1
648,10,3,Gerald,"Kyle! Kyle, wake up!  We have to go! The terrorists are attacking!",96.78059220314026,1
678,10,3,Prof. Thomas,"Thank you, Mayor.  Now look, everyone, Muslim terrorists and extremists are threatening us for what Family Guy is going to do... because they've wrongly grouped us together. Our only hope is to make the Muslim extremists know... that we had no part in the Mohammad episode. That even though the episode aired, we didn't watch it, we didn't hear it, and we didn't talk about it.",97.63001203536987,1
689,10,3,Cartman,"It's simple television economics, Kyle. All it takes to kill a show forever is get one episode pulled. If we convince the network to pull this episode for the sake of Muslims, then the Catholics can demand a show they don't like get pulled. And then people with disabilities can demand another show get pulled. And so on and so on, until Family Guy is no more! It's exactly what happened to Laverne & Shirley.",95.51262259483336,1
691,10,3,Cartman,"Because they made f-fun of Muslims, and and that's wrong.",99.384343624115,1
693,10,3,Cartman,"Don't you EVER, EVER, compare me to Family Guy! You hear me Kyle??!! Compare me to Family Guy again, and so help me I will kill you where you stand! ",98.23414087295532,1
694,10,3,Kyle,You unbelievable son of a bitch. You never cared about the Muslim religion. Or the safety of people in America. You just want Family Guy off the air!,99.71133470535278,1
704,10,3,Cartman,Holy Crap! ,99.66926574707033,1
712,10,3,Stan,"Dad, this is stupid.",99.7196912765503,1
725,10,3,Kyle,You son of a bitch! I won't let you win! You hear me?!,99.7333526611328,1
726,10,3,Cartman,"Suck mah balls, Kyle! ",98.33127856254578,1
747,10,4,Kyle,You son of a bitch! I won't let you win!,99.73472356796265,1
756,10,4,Terrance,"ALL RIGHT, JUST WHAT THE HELL IS GOING ON HERE??!!",98.01732897758484,1
767,10,4,Cartman,"It's regarding Family Guy. I demand that the Mohammad episode be pulled before it airs tonight! It's incendiary, it's offensive to Muslims, and people can get hurt! It's wrong! It's WROOONG!",97.32621908187866,1
770,10,4,Bart,Eat my shorts!,98.15067052841188,1
772,10,4,SNN Anchor,"...starting in a small town in central Colorado. The idea has now spread all over America.  Muslims continue to riot in the Middle East, demanding that Family Guy not air tonight's episode.  Amd Muslim terrorists continue to make threats.",97.77923822402954,1
781,10,4,Bart,I hate Family Guy.,99.56005811691284,1
834,10,4,Trucker,"I mean, I know it's just joke after joke, but I like that. At least it doesn't get all preachy and up its own ass with messages, you know? ",97.36851453781128,1
837,10,4,Kyle,"Look, my fat bastard friend is trying to trick the network into getting Family Guy off the air.",99.65607523918152,1
842,10,4,Bart,"Cowabunga, motherfucker!",99.73939657211304,1
865,10,4,Cartman,Son of a bitch.,99.7295081615448,1
870,10,4,Kyle,You fat sun of a bitch!,99.73834156990053,1
874,10,4,Bart,"Shut up!  You shut your fucking face, man!  Did it work? Did you scare the network into pulling the episode?",99.71553087234496,1
877,10,4,Kyle,"Cartman, let me out of this stupid net!!",99.7140407562256,1
891,10,4,Kyle,Cartman!!  You fucking fatass!,99.73769187927246,1
892,10,4,Cartman,How the hell did you get out?,98.12105298042296,1
894,10,4,Cartman,"Aw, God damnit, you gave him one of your gay little speeches, didn't you?!",98.807692527771,1
895,10,4,Kyle,You are NOT KILLING FAMILY GUY!!,99.59967136383057,1
897,10,4,Kyle,There's still time to tell the network president you're full of CRAP! ,97.91436791419984,1
899,10,4,Kyle,Get out of my way or I'll kick your ass!,99.72174167633057,1
906,10,4,Kyle,"No more timeouts, fatass!",99.70295429229736,1
919,10,4,Kyle,Listen to me: the little boy who convinced you to pull the episode is a bastard child. He only wants you to pull it because he knows it will be the end of Family Guy forever!,97.262042760849,1
925,10,4,Kyle,What manatees??!! ,98.63194227218628,1
934,10,4,Kyle,Noo! Wait! You can't listen to him! He's a lying deceitful monster who only wants Family Guy off the air!,96.339613199234,1
953,10,4,Cartman,"No! No, I hate Family Guy!! ",99.45306181907654,1
962,10,4,An Official,"Mr. President, the terrorists are retaliating!",98.50844740867616,1
969,10,4,American Male 1,We like to crap own each other. ,97.56312370300292,1
970,10,4,President Bush,"Hello, I am the President Bush. I will crap on both of you. ",98.39276671409608,1
971,10,4,American Male 2,Ugh! We love to crap!,98.51570129394533,1
973,10,4,American Male 3,Let's crap. ,98.82639646530151,1
974,10,4,Jesus,"Look at me! I'm Jesus! Would you like me to crap on you, Mr. Bush? ",98.42783808708192,1
976,10,4,Al-Zawahri,"Oh yeah, take THAT! We burned you! THAT WAS WAY FUNNIER THAN FAMILY GUY.",97.87943363189696,1
987,10,5,Towelie,Don't call me shoeless! You're shoeless!,95.92655301094057,1
990,10,5,Head Waiter,"All right, that's it! Get out of here! You're fired!",96.73051834106444,1
1032,10,5,Mingie,"Oh, what do you care? You're just an asshole. I'm a minge! Minges need stimulation.",99.70888495445251,1
1033,10,5,Gary,"Assholes need stimulation too, you bastard! I want to travel. I want to see Paris. I thought lamp was goin' to get better, but Oprah's always busy. Werkin' and werkin', diyatin' and not diyatin'. I need a pukin' up mounds of chocolate cake or teaspoons of weedgrass.",99.34499859809875,1
1065,10,5,Gary,"A'right, look. All you need to know is that I'm definitely not Oprah's asshole.",99.675852060318,1
1066,10,5,Mingie,Aw you stupid twit!!,99.73692893981934,1
1067,10,5,Gary,"Don't call me a twit, Geraldo!",99.6711492538452,1
1068,10,5,Mingie,"He didn't call you ""stupid twit,"" I did!! Now just tell 'im this:",99.66375827789308,1
1126,10,5,Oprah,"Well you know what I think, Towelie? I think you're a LYING SACK OF SHIT!  You lied to all these people, and for what??!! To make money!! They bought your book thinking it was true!!",99.39403533935548,1
1130,10,5,Oprah,How DARE you like to me and make me look foolish?!,95.60834169387816,1
1133,10,5,Oprah,"You think writing is a joke, you stupid towel?!",99.7137188911438,1
1138,10,5,Oprah,"You lied to me, Towelie! And therefore you have lied to America!  We are going to rise up against you!  Is this audience ready for a good old-fashioned lynching?!",97.84815907478333,1
1144,10,5,Mingie,"There's not gonna be any Paris! Don't you get it, Gary?! The fat cow get everyone on 'er side again! She'll be workin' more than ever now! Our plan is ruined!",95.95211744308472,1
1149,10,5,Woman,Burn him! Burn the towel!,98.2512593269348,1
1150,10,5,Man 4,Burn that which lies to Oprah!,97.63097763061523,1
1155,10,5,Oprah,What the hell is this??!!,99.66326355934144,1
1160,10,5,Mingie,"Shut up! Shut up, you miserable old cow, or so help me I'll blow your brains out!  I want a chooper! You got that?! And a jet waiting at the airport!",99.41503405570984,1
1169,10,5,Gary,Jesus Minge! You killed him! You shot him dead!,98.78645539283752,1
1174,10,5,Mingie,"Ah, Gary, that smells awful! Now I'm gonna throw up!  Try to leave and I'll shoot you too! You hostages aren't goin' anywhere till we get what we want!",97.94852137565611,1
1178,10,5,Geraldo,"I'm standing in the business district of central Chicago, where Oprah's vagina has killed a police officer and taken several people hostage. It is yet unconfirmed but believed that Oprah's asshole may be an accomplice in this as well.",99.48450326919556,1
1184,10,5,Mingie,"I'm not playing games with you, mate! Gary's drownin' in his own sick!",98.13303351402284,1
1185,10,5,Lt. Nelson,"All right, we'll work on it. Don't do anything foolish.  We don't have any time; this is the most unstable vagina I've ever talked to.",97.5610375404358,1
1190,10,5,Mingie,"Don't be stupid, Gary. I've got a policeman. They'll fry me, lock you up for life.",97.57615923881532,1
1193,10,5,SWAT Officer 3,"Oprah's vagina, this is your last warning! Put down the gun!",99.5958149433136,1
1194,10,5,Mingie,"If that chopper isn't here in two minutes, I'm killin' a hostage!",97.11407423019408,1
1200,10,5,Mingie,"What the? Haha! You missed me, you stewpid buggers! You see that Gary? They can't even aim!",98.20606708526611,1
1218,10,5,Mingie,"Gary? Gary, say somethin'.  You killed him, you bastards! He didn't even want any part in this! This is all your fault, you stupid cow! You never gave your ol' Gary the time of day and now he's gone! Life ain't worth livin' any more! What's the use?! ...I'm comin' to see you, Gary!  I'm comin' to see ya!",99.58089590072632,1
1220,10,5,Lt. Nelson,Oprah's going to be okay. Wish I could say the same for her vagina and asshole.,99.7103989124298,1
1222,10,5,Man 7,"Yeah, it sure was. We're sorry we tried to burn you and murder you before.",97.74938821792604,1
1226,10,6,Kyle,Dick Cheney?,98.3611524105072,1
1232,10,6,Kyle,ManBearPig? ,98.1714129447937,1
1237,10,6,Kyle,"Just play the game, fatass!",99.69215989112854,1
1239,10,6,Cartman,"Hang on. I'm going to do something killer.  God damnit, stop it, Kyle!",96.02779746055604,1
1241,10,6,Kyle,"Just take a shot or pass the ball, asshole! It's getting late!",99.7138738632202,1
1243,10,6,Stan,"Cartman, stop hogging the goddamned ball!",98.83264899253844,1
1256,10,6,Randy,ManBearPig?,97.87582159042358,1
1258,10,6,Cartman,"No, dude, he's half man and half bear and half pig.",97.99720644950868,1
1260,10,6,Stan,"He could be half bear, half manpig.",96.81295156478882,1
1295,10,6,Al Gore,Look! You boys have a chance to help me find and kill ManBearPig once and for all! I'm totally serial!,98.08372855186462,1
1317,10,6,Al Gore,"Wait! Shhh.  Christ! He's here! Take this rope!  Be ready to tie him up!  I've got you now, you son of a bitch! ",99.6917963027954,1
1322,10,6,Al Gore,"Leave them alone, you Goddamned ManBearPig!",99.71749782562256,1
1324,10,6,Al Gore,Damn you ManBearPig! They're just children!,99.69985485076904,1
1336,10,6,Cartman,"You'd better get us out of here, asshole!",99.7213900089264,1
1342,10,6,Cartman,This is... bullcrap! If I'm thin- I'm gonna be so... pissed off!  Goddammit! ,99.65248703956604,1
1350,10,6,Kenny,"(Yeah, No shit.)",99.7204601764679,1
1368,10,6,Fireman,"What is that, a pigbearman?",95.09045481681824,1
1369,10,6,Al Gore,"No, stupid! It's ManBearPig!",99.7354507446289,1
1373,10,6,Kyle,"Dude, it's bad enough we have to sit here without you taking a crap every ten minutes!",97.49027490615843,1
1375,10,6,Cartman,"All that treasure.  It's all mine!  So long as these greedy assholes don't find out about it!  You would all just looove to get your hands on my treasure, wouldn't you?! Even though I found it, you'd love to think it's somehow yours, too! God, I hate you guys!  Especially you, you money-grubbing snake in the grass!  Well I have news for you, Kyle! You're never going to get my treasure. I've got a little plan going, to get the treasure out of here without you ever knowing. ",99.09817576408386,1
1382,10,6,Al Gore,Why won't anybody listen to me?! ManBearPig is in there and we have to kill him while we all have the chance. I'm serial!,97.95814156532288,1
1405,10,6,Cartman,"NO DON'T! Don't leave me here, you assholes. Don't leave me here to die. ",99.7335135936737,1
1407,10,6,Stan,"Goddamnit, he's soo heavy!",99.30251836776732,1
1409,10,6,Kyle,What the hell is that??,99.569571018219,1
1416,10,6,Kyle,What the hell is that?  Oh my God. ,97.77562618255617,1
1442,10,6,Stan,"Just stay away from us, asshole! I was nice to you because I felt sorry for you, because you don't have any friends! But now I see WHY you don't have any friends! You just used ManBearPig as a way to get attention for yourself because you're a LOSER!!",99.5891809463501,1
1443,10,6,Al Gore,Hyeah right. The man who singlehandedly killed ManBearPig is a loser. ,99.17020201683044,1
1454,10,6,Kyle,You made us pull you to safety because you ate treasure?! You son of a bitch!,99.72750544548036,1
1467,10,7,Cartman,"Well nice goin', asshole! You made my mom cry!",99.73576664924622,1
1473,10,7,Girl,Shut up! I hate you! I hate you! ,99.69839453697205,1
1479,10,7,Cartman,Wir müssen die Juden ausrotten!! ,98.52313995361328,1
1495,10,7,Cartman,The hell do you think you're doing?,98.84448051452635,1
1497,10,7,Cartman,"Stop trying to bogart my Xbox, you fat bitch!",99.73480701446532,1
1507,10,7,Cartman,"All right, seriously, you're starting to piss me off now.",95.9635078907013,1
1528,10,7,Stella,"Why you, you...  you little bastard! How dare you?!",99.7328758239746,1
1531,10,7,Cartman,"Yes, let the anger come! Strike me down while you can! But it won't make your dried-up ovaries any more fertile! ",98.09781312942503,1
1540,10,7,Doctor,"I mean,  she spends most of her time sobbing and eating her own excrement. ",97.53970503807068,1
1565,10,7,Cartman,KNOCK IT OFF!,98.39995503425598,1
1573,10,7,Cartman,"Ey! You think this is funny, you sonofabitch?",99.63629841804504,1
1577,10,7,Cartman,Agh! Goddamnit! Aaarrgh! ,99.70443844795228,1
1589,10,7,Cartman,God dammit stop ignoring me!,99.26018118858336,1
1601,10,7,Cartman,"Eh, what are you doing? I want chicken! Give me some Goddamned chicken!",97.62080907821657,1
1605,10,7,Cartman,"Goddammit, I am not a dog!  Give me the chicken. Give, give, give me the chicken. I want the chicken! Chicken!  Give me the chicken! Give me the chicken! Give me the chicken! Give me the chicken!",96.95215821266174,1
1610,10,7,Cartman,"Suck my asshole, taco vendor!",99.72911477088928,1
1612,10,7,Cartman,"Goddamnit, you can't stand here and eat KFC in front of me!  Now hand it over!",98.71529936790466,1
1616,10,7,Cartman,"Goddamnit, you just can't-",99.4186520576477,1
1621,10,7,Cartman,"Mom, I am serious! This has gone on long enough! Get that guy out of here and give me a piece of chicken!  That's how you want it, bitch?! Fine!  I hate you! I'm running away!",99.65507984161376,1
1634,10,7,Kenny,(Fuck you.),99.73105192184448,1
1635,10,7,Cartman,"Och! Well, I guess now we see just how supportive friends can be! When the chips are down you won't even lend a hand! I'll just go sleep on the street somewhere!  Out in the cold! Probably get mugged and gang-raped by some minorities! You guys'll be sorry when I turn up dead! ",95.30192613601685,1
1642,10,7,Craig,...But I hate you.,98.25575947761536,1
1644,10,7,Cartman,This is bullcrap! Mom'll break soon. I can outlast her.,98.09162020683289,1
1652,10,7,Cartman,"Aw, Goddammit!",99.69635605812071,1
1658,10,7,Cartman,"What the hell is this?! Skinless chicken, boiled vegetables and salad?! This is just like Auschwitz!",97.68776893615724,1
1699,10,7,Cartman,"Guys, listen up. I really need your help this time. I've thought about it a lot and I've decided I have to kill my mom.",97.01140522956848,1
1700,10,7,Butters,Kill your mom?,99.41061735153198,1
1703,10,7,Cartman,Yes! I've lost almost ten pounds now. You see what I mean?? I totally know how it felt to be a Jew in the Holocaust now! I have to kill my mom. It's my only way out.,97.0033049583435,1
1704,10,7,Kyle,"Dude, don't kill your mom. That's not cool.",98.17529916763306,1
1705,10,7,Cartman,"She's Hitler! Would you have killed Hitler if you had the chance?!  All right now, here's the plan. At 9:45 tonight I will sneak out of my room and leave the house, leaving the back door unlocked.  You guys come into the house at 10:30 p.m. sharp, having given me enough time to get down to Perkins to be seen by everyone there. And then all four of you go upstairs to kill my mom.",96.91173434257507,1
1706,10,7,Stan,"Dude, we're not killing your mom.",97.7747917175293,1
1715,10,7,Cartman's Conscience,Wait. Maybe I don't have the right to kill my mom.,96.5857744216919,1
1724,10,7,Cartman's Bad Side,Idiot! ,99.73430037498474,1
1752,10,8,Kyle,"If you didn't eat so much, you wouldn't have diarrhea all the time, fatass!",97.60510325431824,1
1753,10,8,Cartman,"Hey, I don't need to take any lip from a frickin' girl!",97.62662649154665,1
1763,10,8,Randy,...I'm not a r-tard. ,99.7008740901947,1
1768,10,8,Cartman,"Yeah, it's bullcrap. I'll bet half these of these people are Koreans.",96.54874801635742,1
1772,10,8,Cartman,"Get out of here, asshole!",99.73669648170473,1
1776,10,8,Kyle,You bastard! ,99.73425269126892,1
1777,10,8,Cartman,Don't you have better things to do than going online killing people?!  No! I don't want them to start over at the graveyard!  No! ,97.49575853347778,1
1778,10,8,Cartman,That sonofabitch!,99.73867535591124,1
1785,10,8,Cartman,He's a God damned butthole!,99.7383177280426,1
1799,10,8,Member 3,How do you kill...that which has no life? ,98.06914329528809,1
1806,10,8,Cartman,"My friends: as you all know, some giant butthole keeps logging onto Warcraft and killing all our characters.",98.25209975242616,1
1812,10,8,Jimmy,We can really stick it to that assm-m-muncher!,98.89773726463318,1
1828,10,8,Cartman,"Butters, go buy World of Warcraft, install it on your computer, and join the online sensation before we all murder you.",95.74989676475523,1
1838,10,8,Cartman,Butters? What the hell are you doing?,98.81934523582458,1
1842,10,8,Cartman,"So pick another one! I'm the dwarf, you stupid asshole! Log out, create a new character, and log back in!",99.70396161079408,1
1855,10,8,Cartman,"All right, Clyde, hit him with your crossbow!  Hit him now, Clyde! Clyde? Clyde!  Clyde! Clyde, you asshole!  Goddamnit we lost Clyde!",99.71792697906494,1
1861,10,8,Stan,"That's it, screw this game!",99.47004318237305,1
1862,10,8,Cartman,"Now, leave me alone, don't do-  that, dugh  God-fucking-damnit!!! ",99.72936511039734,1
1865,10,8,Member 3,He just finished killing every single player in the Arathi Highlands.,97.69734740257265,1
1871,10,8,Cartman,What the hell are you guys doing?? Don't tell me you all quit playing World of Warcraft too?!,97.416353225708,1
1872,10,8,Stan,"Dude, we're done. we're sick of getting killed all the time.",97.58233428001404,1
1958,10,8,Sharon,I don't know. He took his computer somewhere to play that stupid online game.,99.14252758026124,1
1959,10,8,Member 1,Stupid?,99.72686767578124,1
1998,10,8,Cartman,"Stan, what the hell are you doing?! ",98.76234531402588,1
2003,10,8,Stan,"Dad, no!  You killed my father. ",97.64185547828674,1
2013,10,8,Man 1,They did it! They killed him! ,98.53598475456238,1
2037,10,9,Kyle,"Oh God, here we go again! 9/11 was not a conspiracy, fatass!",97.57297039031982,1
2061,10,9,Kyle,Because anybody who thinks 9/11 was a conspiracy is a retard!,99.5808720588684,1
2062,10,9,Cartman,Oh really? Well did you know that over one-fourth of people in America think that 9/11 was a conspiracy? Are you saying that one-fourth of Americans are retards?,97.79978394508362,1
2063,10,9,Kyle,Yes. I'm saying one-fourth of Americans are retards.,99.18519854545592,1
