,Season,Episode,Time_Stamp,Line,NRC_Sentiment,AFINN_Sentiment,AFINN_Sentiment_Score,BING_Sentiment,prob
23,1,1,00:01:57,but of course that was my victory day the fruition of my deeplylaid plans to escape from that cursed ovarian bastille return the device woman,"anger,anticipation,fear,joy,negative,positive,sadness,trust",Negative,-1,Positive,0.19399657612666488
24,1,1,00:02:02,no toys stewie,Neutral,Negative,-1,Neutral,0.11875400086864829
25,1,1,00:02:03,very well then,Neutral,Neutral,0,Positive,0.15274900943040848
26,1,1,00:02:04,mark my words when you least expect it your uppance will come,"anger,anticipation,negative,positive,surprise,trust",Neutral,0,Neutral,93.37695837020874
27,1,1,00:02:10,mom can i turn the heat up,Neutral,Neutral,0,Neutral,0.07913935696706176
28,1,1,00:02:12,dont touch the thermostat meg your father gets upset,"anger,negative,sadness,trust",Negative,-2,Negative,0.23472225293517113
29,1,1,00:02:15,come on this thing goes up to 90,Neutral,Neutral,0,Neutral,0.12460544239729643
30,1,1,00:02:17,who touched the thermostat,negative,Neutral,0,Neutral,0.11026514694094658
31,1,1,00:02:18,god how does he always know,"anticipation,fear,joy,positive,trust",Positive,1,Neutral,0.4325876943767071
32,1,1,00:02:20,brain implant meg every fathers got one,Neutral,Neutral,0,Neutral,0.1065351883880794
33,1,1,00:02:22,tells you when the kids mess with the dial,"disgust,negative",Negative,-2,Negative,0.24745524860918522
34,1,1,00:02:24,my thing went off your thermostat okay,Neutral,Neutral,0,Neutral,0.08299204637296498
35,1,1,00:02:26,yeah its all right,Neutral,Positive,2,Positive,0.23101652041077614
36,1,1,00:02:26,is my kid over here,Neutral,Neutral,0,Neutral,0.1205531065352261
37,1,1,00:02:28,forget it false alarm,"fear,negative,surprise",Negative,-3,Negative,0.0987514853477478
38,1,1,00:02:30,ass ahoy,negative,Negative,-4,Neutral,0.12730155140161514
39,1,1,00:02:32,peter its 700 and youve still got your pants on whats the occasion,Neutral,Neutral,0,Neutral,0.14125992311164737
40,1,1,00:02:35,hes going to a stag party,Neutral,Neutral,0,Neutral,0.0669479661155492
41,1,1,00:02:37,lois i work hard all week to provide for this family,"positive,trust",Negative,-1,Positive,0.06283581024035811
42,1,1,00:02:40,i am the man of the house,Neutral,Neutral,0,Neutral,0.07065823301672935
43,1,1,00:02:41,as the man i order you to give me permission to go to this party,positive,Neutral,0,Neutral,0.1315225614234805
44,1,1,00:02:44,look at least promise me you wont drink alcohol always leads to trouble,"anticipation,joy,positive,trust",Negative,-1,Positive,1.1256803758442402
45,1,1,00:02:48,come on youre worrying about nothing,"anticipation,fear,negative,sadness",Negative,-3,Negative,2.99440361559391
46,1,1,00:02:50,remember when you got drunk off the communion wine at church,"anticipation,joy,positive,trust",Negative,-2,Negative,0.19154504407197237
47,1,1,00:02:57,and so the lord god smote poor job with festering boils all over his body,"anticipation,disgust,fear,joy,negative,positive,trust",Negative,-1,Negative,98.20221662521362
48,1,1,00:03:00,man i hate it when he tells this story,"anger,disgust,fear,negative,sadness",Negative,-3,Negative,62.22395300865173
49,1,1,00:03:02,yet miraculously job was still able to retain his dignity,"positive,trust",Neutral,0,Positive,0.165303994435817
50,1,1,00:03:06,is that really the blood of christ,Neutral,Neutral,0,Neutral,4.991500824689865
51,1,1,00:03:06,yes,Neutral,Positive,1,Neutral,0.11784621747210622
52,1,1,00:03:10,man that guy mustve been wasted,"anger,disgust,negative",Negative,-2,Negative,88.48782777786255
53,1,1,00:03:14,and then there was that time at the ice cream store,"anticipation,joy,positive,surprise",Neutral,0,Neutral,0.07125498377718031
54,1,1,00:03:17,butter rs my favorite,"joy,positive,trust",Positive,2,Positive,0.08882693946361542
55,1,1,00:03:21,remember you had an irish coffee the day we went to see philadelphia,Neutral,Neutral,0,Neutral,0.05816665943711996
56,1,1,00:03:30,i got it thats the guy from big tom hanks thats it,Neutral,Positive,1,Neutral,0.30512416269630194
57,1,1,00:03:34,funny guy tom hanks everything he says is a stitch,Neutral,Positive,4,Negative,42.498430609703064
58,1,1,00:03:37,i have aids,Neutral,Neutral,0,Neutral,0.22995772305876017
59,1,1,00:03:40,promise me peter,"joy,positive,trust",Positive,1,Positive,0.09393959771841764
60,1,1,00:03:40,lois honey i promise,"joy,positive,trust",Positive,1,Positive,0.07250757771544158
61,1,1,00:03:43,not a drop of alcohol is gonna touch these lips tonight,Neutral,Negative,-1,Neutral,0.27866463642567396
62,1,1,00:03:46,who wants to play drink the beer,"joy,positive",Neutral,0,Neutral,0.4081414546817541
63,1,1,00:03:48,right here,Neutral,Neutral,0,Positive,0.4909813404083252
64,1,1,00:03:49,you win,Neutral,Positive,4,Positive,1.2152332812547684
65,1,1,00:03:49,all right what do i win,Neutral,Positive,4,Positive,0.18126718932762742
66,1,1,00:03:51,another beer,"joy,positive",Neutral,0,Neutral,0.11164875468239188
67,1,1,00:03:52,im going for the high score,"anticipation,joy,positive,surprise",Neutral,0,Neutral,0.133268884383142
68,1,1,00:03:54,actually charlies got the high score,"anticipation,joy,positive,surprise",Neutral,0,Neutral,0.07371162064373493
69,1,1,00:03:56,man your clock wont flush,"anticipation,positive",Neutral,0,Neutral,10.750085860490799
70,1,1,00:03:59,i feel kind of bad guys i promised my wife i wouldnt drink,"anger,disgust,fear,joy,negative,positive,sadness,trust",Neutral,0,Negative,0.2448624698445201
71,1,1,00:04:02,dont feel bad peter,"anger,disgust,fear,negative,sadness",Negative,-3,Negative,0.465508783236146
72,1,1,00:04:02,gee i never thought of it like that,anticipation,Positive,2,Positive,0.08560711285099387
73,1,1,00:04:05,did you bring the porno,negative,Neutral,0,Neutral,80.47091960906982
74,1,1,00:04:06,did i bring the porno youre gonna love it its a classic,"joy,negative,positive",Positive,3,Positive,0.872135441750288
75,1,1,00:04:13,listen ilsa if i take this thing out and youre not on it youll regret it not today or tomorrow,"anticipation,negative,sadness",Negative,-2,Negative,25.744476914405823
76,1,1,00:04:16,but soon and for the rest of your life,positive,Neutral,0,Neutral,0.06951529649086297
77,1,1,00:04:18,come on llsa get on it,Neutral,Neutral,0,Neutral,0.1563709694892168
78,1,1,00:04:23,the statue was a gift from france,"anticipation,joy,positive,surprise",Positive,2,Neutral,0.061904400354251266
79,1,1,00:04:25,what is this,Neutral,Neutral,0,Neutral,1.0917202569544315
80,1,1,00:04:26,man my kid mustve taped over this for history class,Neutral,Neutral,0,Neutral,0.10507380357012153
81,1,1,00:04:30,the statue of liberty what are we gonna do,"anticipation,joy,positive,surprise,trust",Neutral,0,Positive,0.3493399824947119
82,1,1,00:04:33,boys were gonna drink till shes hot,anger,Neutral,0,Positive,0.6182703655213118
83,1,1,00:04:33,thats just crazy enough to work,"anger,fear,negative,sadness",Negative,-2,Negative,0.17946247244253755
84,1,1,00:04:43,meg finish your pancakes,Neutral,Neutral,0,Neutral,0.08141958969645202
85,1,1,00:04:45,chris elbows off your father,trust,Neutral,0,Neutral,0.18911842489615083
86,1,1,00:04:48,thanks son a great example for the kids peter,Neutral,Positive,5,Positive,0.08809003629721701
87,1,1,00:04:52,yeah a new family record way to raise the bar dad,Neutral,Positive,1,Neutral,0.12590824626386166
88,1,1,00:04:55,chris youre 13 dont talk like that,positive,Positive,2,Positive,1.6384918242692947
89,1,1,00:05:00,kids daddy only drank so the statue of liberty would take her clothes off,"anticipation,joy,positive,surprise,trust",Neutral,0,Positive,72.31647372245789
90,1,1,00:05:01,what did you promise me last night,"joy,positive,trust",Positive,1,Positive,0.07285487372428179
91,1,1,00:05:01,i wouldnt drink at the stag party,Neutral,Neutral,0,Neutral,0.07215813384391367
92,1,1,00:05:05,and what did you do,Neutral,Neutral,0,Neutral,0.159961124882102
93,1,1,00:05:05,drank at the stag,Neutral,Neutral,0,Neutral,0.060348393162712455
94,1,1,00:05:08,i almost walked right into that one god,"anticipation,fear,joy,positive,trust",Positive,1,Positive,0.09952470427379012
95,1,1,00:05:11,feels like accountants are cranking adding machines in my head,Neutral,Positive,2,Positive,1.819414645433426
96,1,1,00:05:18,dick you ever wonder whats outside those walls,Neutral,Negative,-4,Negative,90.21197557449341
97,1,1,00:05:21,thats dangerous thinking paul you best stick to your work,"fear,negative",Positive,3,Negative,0.6850447971373796
98,1,1,00:05:24,okay,Neutral,Neutral,0,Neutral,0.20066958386451006
99,1,1,00:05:26,you see a hangover is natures way of telling you i was right i mean,Neutral,Neutral,0,Positive,2.5381317362189293
100,1,1,00:05:30,mom are you all right,Neutral,Neutral,0,Positive,0.19441989716142416
101,1,1,00:05:32,my goodness this chair leg was loose isnt that silly,"anticipation,joy,negative,positive,surprise,trust",Negative,-1,Positive,2.7239860966801643
102,1,1,00:05:36,i couldve broken my neck,"anger,fear,negative,sadness",Negative,-1,Negative,0.0891702133230865
103,1,1,00:05:38,damn,"anger,disgust,negative",Negative,-1,Negative,97.89916276931763
104,1,1,00:05:43,honey i took a cab home i slept on the table so i wouldnt wake you up nothing bad happened,"anger,disgust,fear,negative,positive,sadness",Negative,-3,Negative,0.07921050419099629
105,1,1,00:05:46,i guess youre right,surprise,Neutral,0,Positive,0.12978961458429694
106,1,1,00:05:48,apology accepted all right im going to work,positive,Neutral,0,Positive,0.07287451880984008
107,1,1,00:05:51,somebodys gotta put food on this table,"joy,positive,trust",Neutral,0,Neutral,1.2192261405289173
108,1,1,00:05:56,how are you coming johnson,anticipation,Neutral,0,Neutral,0.6590832956135273
109,1,1,00:05:57,mr weed ive been working on the new gi jew line,positive,Neutral,0,Negative,0.06035623955540359
110,1,1,00:06:00,and as you can see they look great,Neutral,Positive,3,Positive,0.10485751554369926
111,1,1,00:06:02,you call these bagels,Neutral,Neutral,0,Neutral,0.314560835249722
112,1,1,00:06:03,im glad hes on our side,"anticipation,joy,positive",Positive,3,Positive,0.7916184142231941
113,1,1,00:06:08,peter what,Neutral,Neutral,0,Neutral,0.2078492660075426
114,1,1,00:06:09,are you sleeping on the job,positive,Neutral,0,Neutral,80.92134594917297
115,1,1,00:06:10,no theres a bug in my eye and im trying to suffocate him,"disgust,fear,negative",Negative,-1,Negative,83.80593061447144
116,1,1,00:06:14,peter i like you but i need you to be more than just eye candy around here,Neutral,Positive,2,Positive,0.23660226725041866
117,1,1,00:06:18,its your job to watch for toys that could be hazardous to kids,"anticipation,fear,negative,positive",Neutral,0,Negative,0.10926849208772182
118,1,1,00:06:21,now look sharp,Neutral,Neutral,0,Positive,0.08998857229016721
119,1,1,00:06:21,yes sir,"positive,trust",Positive,5,Neutral,0.11978967813774943
120,1,1,00:06:35,and now back to action news 5 our top story tonight when toys attack,"anger,anticipation,fear,negative,positive,trust",Positive,1,Positive,0.11101289419457316
121,1,1,00:06:40,quite a situation weve got here tom,Neutral,Neutral,0,Neutral,0.06715606432408094
122,1,1,00:06:41,quite a situation weve got here tom indeed diane,Neutral,Neutral,0,Neutral,0.06740992539562285
123,1,1,00:06:47,the happygolucky toy company of quahog rhode island has released highly unsafe products into the retail market,"fear,negative",Positive,6,Positive,0.6428995169699192
124,1,1,00:06:50,come on timmy throw the silly ball,"joy,negative",Negative,-1,Negative,3.812999650835991
125,1,1,00:06:54,boy a pound poochie,"anger,negative",Neutral,0,Neutral,15.617628395557404
126,1,1,00:06:58,come on baby heimlich spit it out,"disgust,joy,positive",Neutral,0,Neutral,0.11265674838796258
127,1,1,00:07:03,peter im appalled,Neutral,Negative,-2,Negative,1.4755000360310078
128,1,1,00:07:04,your negligence has damaged this companys reputation,negative,Neutral,0,Negative,0.1712593249976635
129,1,1,00:07:07,youre fired,Neutral,Negative,-6,Neutral,52.51544117927551
130,1,1,00:07:08,jeez for how long,anticipation,Neutral,0,Neutral,0.23512321058660746
131,1,1,00:07:12,my god you got fired,"anticipation,fear,joy,positive,trust",Negative,-1,Neutral,1.6258154064416885
132,1,1,00:07:13,way to go dad fight the machine,"anger,fear,negative,trust",Negative,-1,Neutral,0.3184444969519973
133,1,1,00:07:13,how do you know about the machine,trust,Neutral,0,Neutral,0.4672211594879627
134,1,1,00:07:17,dont worry ill still put food on this table,"anger,anticipation,disgust,fear,joy,negative,positive,sadness,trust",Negative,-3,Negative,0.2636113204061985
135,1,1,00:07:20,just not as much so it might get a little competitive,Neutral,Positive,2,Positive,0.14001202071085572
136,1,1,00:07:23,who cares about food now well never be able to afford my lip injections,"joy,positive,trust",Positive,2,Positive,0.3877954324707389
137,1,1,00:07:27,can we put her out in the yard for a while,Neutral,Neutral,0,Neutral,0.07138847722671926
138,1,1,00:07:30,okay whos hungry,"anticipation,negative",Neutral,0,Neutral,2.3617099970579147
139,1,1,00:07:32,jeez how the hell am i gonna break this to lois,"anger,disgust,fear,negative,sadness,surprise",Negative,-4,Negative,13.682393729686737
140,1,1,00:07:35,if she finds out i got fired for drinking shes gonna blame me,"anger,disgust,negative",Negative,-4,Negative,2.5120437145233154
141,1,1,00:07:38,lie to her its okay to lie to women theyre not people like us,"anger,disgust,negative,sadness",Positive,2,Negative,55.952489376068115
142,1,1,00:07:42,i dont know hey wheres the other guy,Neutral,Neutral,0,Neutral,0.17579516861587763
143,1,1,00:07:46,come on you bastard im late for work,"disgust,negative,sadness",Negative,-5,Negative,96.12254500389099
144,1,1,00:07:48,this is perfect,"anticipation,joy,positive,trust",Positive,3,Positive,0.0886456633452326
145,1,1,00:07:50,look i dont want your mom to worry all right,"anticipation,fear,negative,sadness",Negative,-2,Negative,0.36232792772352695
146,1,1,00:07:55,when she worries she says i told you so and stop doing that im asleep so im just gonna tell a little lie okay,"anger,disgust,negative,sadness",Negative,-1,Negative,0.17348678084090352
147,1,1,00:07:59,not a word to your mom about me getting canned,"positive,trust",Neutral,0,Neutral,0.07435199804604053
148,1,1,00:08:01,whats that peter,Neutral,Neutral,0,Neutral,1.6979595646262169
149,1,1,00:08:03,nothing the lostmyjob smells great,Neutral,Neutral,0,Negative,1.076586451381445
150,1,1,00:08:03,what,Neutral,Neutral,0,Neutral,0.4976789001375437
151,1,1,00:08:06,meg honey can you pass the firedmyassfornegligence,positive,Negative,-6,Negative,0.36619023885577917
152,1,1,00:08:09,peter are you feeling okay,"anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust",Positive,1,Neutral,0.0892170355655253
153,1,1,00:08:11,i feel great i havent got a job in the world,positive,Positive,3,Positive,0.08204581099562347
154,1,1,00:08:14,all right then lets eat,positive,Neutral,0,Positive,0.07309235516004264
155,1,1,00:08:15,i know you all hate eggplant but,"anger,disgust,fear,negative,sadness",Negative,-3,Negative,2.252313867211342
156,1,1,00:08:19,what on earth was that,Neutral,Neutral,0,Neutral,1.3290148228406906
157,1,1,00:08:27,what the deuce are you staring at its tuna fish and nothing else,negative,Neutral,0,Neutral,6.644255667924881
158,1,1,00:08:32,hows your job search going,positive,Neutral,0,Neutral,0.0646199332550168
159,1,1,00:08:34,it sucks brian ive already been through two jobs this week,Neutral,Negative,-3,Negative,0.1988404430449009
160,1,1,00:08:37,i got fired off of that commercial,Neutral,Negative,-2,Neutral,0.06831318605691195
161,1,1,00:08:39,try it again im caca for cocoa puffs,Neutral,Neutral,0,Neutral,0.07478693732991815
162,1,1,00:08:41,no damn it take 26,"anger,disgust,negative",Negative,-5,Negative,89.50011134147644
163,1,1,00:08:44,then i had that job as the sneeze guard for that restaurants salad bar,"disgust,fear,negative,positive,surprise,trust",Neutral,0,Neutral,0.06726973224431276
164,1,1,00:08:50,take it outside lady,Neutral,Neutral,0,Neutral,0.31023663468658924
165,1,1,00:08:51,i thought i could win money in that talent show,"anger,anticipation,joy,positive,surprise,trust",Positive,4,Positive,0.10346146300435066
166,1,1,00:08:54,and the prize goes to the von trapp family singers,Neutral,Neutral,0,Positive,0.07197997765615582
167,1,1,00:08:57,that is bull,Neutral,Neutral,0,Neutral,68.52793097496033
168,1,1,00:09:03,peter i know its a dangerous precedent but you might want to tell lois the truth,"fear,negative,positive,trust",Positive,1,Negative,1.3943320140242577
169,1,1,00:09:05,what that i cant provide for my family that shes always right,"positive,trust",Neutral,0,Positive,0.15785935102030635
170,1,1,00:09:09,that i didnt stand up to a tank in tiananmen square,Neutral,Neutral,0,Negative,0.3114287508651614
171,1,1,00:09:16,screw this i just came over to buy some fireworks,Neutral,Neutral,0,Neutral,0.0643873936496675
172,1,1,00:09:19,you cant keep lying to her about losing your job,"anger,disgust,negative,positive,sadness",Negative,-3,Negative,0.24821185506880283
173,1,1,00:09:21,eventually shell find out where youre going every day,"anger,fear,negative,sadness,surprise",Neutral,0,Neutral,0.0734542089048773
174,1,1,00:09:24,yeah,Neutral,Positive,1,Neutral,0.23757591843605042
175,1,1,00:09:28,yeah youre right okay ill tell her tonight,"anger,disgust,fear,negative,sadness",Positive,1,Positive,0.07774504483677447
176,1,1,00:09:48,victory is mine,"anticipation,joy,positive,trust",Neutral,0,Positive,0.15435715904459357
177,1,1,00:09:50,ill need the checkbook in the morning,"anger,disgust,fear,negative,sadness",Neutral,0,Neutral,0.06015050457790494
178,1,1,00:09:52,im going to stop n shop for some sweet corn,"anticipation,joy,positive,surprise,trust",Positive,1,Positive,0.060890091117471457
179,1,1,00:09:54,youre spending money on food again,"anger,anticipation,joy,positive,surprise,trust",Neutral,0,Neutral,0.09614341543056071
180,1,1,00:09:55,lois we just had dinner,positive,Neutral,0,Neutral,0.06318616215139627
181,1,1,00:09:57,i enjoyed it so much i thought wed eat again tomorrow,"anticipation,positive",Neutral,0,Positive,0.05911297048442066
182,1,1,00:10:01,since when are you so concerned about our food budget,"fear,joy,positive,sadness,trust",Neutral,0,Negative,10.828869044780731
183,1,1,00:10:04,i just,Neutral,Neutral,0,Neutral,1.1060621589422226
184,1,1,00:10:05,lois this is really hard for me to say but,Neutral,Negative,-1,Negative,0.08301807101815939
185,1,1,00:10:09,what is it peter,Neutral,Neutral,0,Neutral,0.29984069988131523
186,1,1,00:10:12,youre getting kind of fat,"disgust,joy,negative,positive,sadness,trust",Positive,2,Negative,25.285953283309937
187,1,1,00:10:12,what,Neutral,Neutral,0,Neutral,0.4976789001375437
188,1,1,00:10:14,its just its not healthy,positive,Positive,2,Positive,30.09485900402069
189,1,1,00:10:16,peter i do my jane fonda workout tape three times a week,Neutral,Neutral,0,Neutral,0.06630650605075061
190,1,1,00:10:20,when was the last time you saw your toes,anticipation,Neutral,0,Neutral,0.08625498157925904
191,1,1,00:10:22,i thought you people were supposed to be jolly,anticipation,Positive,2,Positive,3.3327437937259674
192,1,1,00:10:24,peter what the hell is the matter with you,"anger,disgust,fear,negative,sadness",Negative,-3,Negative,93.80664825439453
193,1,1,00:10:27,honey if theres something wrong you can tell me,"negative,positive",Negative,-2,Negative,0.10535898618400097
194,1,1,00:10:30,sorry man am i late what did i miss,"negative,sadness",Negative,-3,Negative,0.15955953858792782
195,1,1,00:10:30,thank god youre here what do i do,"anticipation,fear,joy,positive,trust",Positive,3,Positive,0.5060811992734671
196,1,1,00:10:34,tell him to keep quiet hes in too deep,"positive,sadness",Neutral,0,Positive,18.876196444034576
197,1,1,00:10:36,i dont know,Neutral,Neutral,0,Neutral,0.2207964425906539
198,1,1,00:10:38,wheres the other guy,Neutral,Neutral,0,Neutral,1.0458401404321194
199,1,1,00:10:41,this is unbelievable,negative,Negative,-2,Negative,0.08918720996007323
200,1,1,00:10:43,i promise you everythings fine you got nothing to worry about,"anticipation,fear,joy,negative,positive,sadness,trust",Neutral,0,Positive,0.1932621467858553
201,1,1,00:10:47,well well mother we meet again,"anticipation,joy,negative,positive,sadness,trust",Neutral,0,Positive,0.060950766783207655
202,1,1,00:10:50,stewie i thought i tucked you in an hour ago,anticipation,Neutral,0,Neutral,0.057420082157477736
203,1,1,00:10:56,not tightly enough it would seem and now you contemptible harpy i shall end your reign of matriarchal tyranny,"anger,disgust,fear,negative,sadness",Neutral,0,Positive,93.51341724395752
204,1,1,00:10:58,you can play tomorrow honey,"anticipation,positive",Neutral,0,Neutral,0.06476647686213255
205,1,1,00:11:00,right now its bedtime,Neutral,Neutral,0,Positive,0.06838551489636302
206,1,1,00:11:02,blast you and your estrogenical treachery,"anger,fear,negative,sadness,surprise",Neutral,0,Negative,84.53103303909302
207,1,1,00:11:05,sweet dreams kiddo,"anticipation,joy,positive,surprise,trust",Positive,3,Positive,0.0665965024381876
208,1,1,00:11:06,you have the power to end this,Neutral,Neutral,0,Neutral,0.9749666787683964
209,1,1,00:11:11,howd she take it,Neutral,Neutral,0,Neutral,0.39466661401093006
210,1,1,00:11:12,i told her she was fat,"disgust,negative,sadness",Neutral,0,Negative,70.12730240821838
211,1,1,00:11:14,no,Neutral,Negative,-1,Neutral,0.24813299532979727
212,1,1,00:11:16,i hate lying to lois its just,"anger,disgust,fear,negative,sadness",Negative,-3,Negative,19.709201157093048
213,1,1,00:11:18,its the best way to keep her from the truth,"positive,trust",Positive,3,Positive,69.8634147644043
214,1,1,00:11:20,you have no choice your unemployment will dry up soon,positive,Negative,-3,Neutral,0.959586538374424
215,1,1,00:11:23,shell probably sense somethings amiss when they repossess your house,"anger,fear,negative,positive,sadness,surprise",Neutral,0,Negative,0.1143820583820343
216,1,1,00:11:26,you really oughta think of your familys welfare,Neutral,Neutral,0,Neutral,0.30841012485325336
217,1,1,00:11:29,jeez brian thats a great idea,Neutral,Positive,3,Positive,0.11012385366484523
218,1,1,00:11:32,okay do you have any disabilities past injuries physical anomalies,Neutral,Neutral,0,Neutral,0.11098857503384352
219,1,1,00:11:37,i didnt have gas for the first time until i was 30,anticipation,Neutral,0,Neutral,0.06447573541663587
220,1,1,00:11:45,what the hell was that,"anger,disgust,fear,negative,sadness",Negative,-1,Negative,62.68109083175659
221,1,1,00:11:48,guys our money problems are over were officially on welfare,"anger,anticipation,joy,positive,surprise,trust",Negative,-2,Negative,0.21794100757688284
222,1,1,00:11:51,come on help me scatter car parts on the front lawn,Neutral,Positive,2,Neutral,0.07276554242707789
223,1,1,00:11:54,how much are we getting,Neutral,Neutral,0,Neutral,1.5719976276159286
224,1,1,00:11:55,lets see 150 a week,Neutral,Neutral,0,Neutral,0.09164533694274724
225,1,1,00:11:58,wait thats a comma not a decimal,"anticipation,negative",Neutral,0,Neutral,0.21788221783936024
226,1,1,00:12:02,whoops,Neutral,Neutral,0,Neutral,0.1761079765856266
227,1,1,00:12:03,no i havent seen peter all afternoon,Neutral,Negative,-1,Neutral,0.0590828713029623
228,1,1,00:12:06,i was giving a piano lesson,"anticipation,positive,trust",Neutral,0,Neutral,0.06342829437926412
229,1,1,00:12:08,stewie why dont you play in the other room,Neutral,Neutral,0,Neutral,0.09246947593055665
230,1,1,00:12:10,why dont you burn in hell,"anger,disgust,fear,negative,sadness",Negative,-4,Negative,97.48251438140869
231,1,1,00:12:12,no dessert for you young man,Neutral,Negative,-1,Neutral,81.54414892196655
232,1,1,00:12:17,who wouldve thought getting drunk would get me 150000 a week from the government,"anticipation,fear,negative",Negative,-2,Negative,21.179240942001343
233,1,1,00:12:20,this is why i dont vote,"anger,anticipation,joy,negative,positive,sadness,surprise,trust",Neutral,0,Neutral,0.7589557208120823
234,1,1,00:12:22,maybe somebody down there was drinking too,negative,Neutral,0,Neutral,0.07046758546493948
235,1,1,00:12:28,mr president why do you think the public supports you during these impeachment proceedings,"anticipation,negative,positive,trust",Positive,2,Positive,0.696249958127737
236,1,1,00:12:29,probably because youre so fat,"disgust,negative,sadness",Neutral,0,Negative,95.62562704086304
237,1,1,00:12:33,peter you might want to call the welfare commission,trust,Positive,1,Neutral,0.08347862749360502
238,1,1,00:12:35,that check is obviously an oversight,negative,Neutral,0,Negative,0.14846515841782093
239,1,1,00:12:37,not necessarily maybe im like their one millionth customer,positive,Positive,2,Positive,0.11162599548697472
240,1,1,00:12:40,what youre gonna spend 150000 a week,Neutral,Neutral,0,Neutral,0.4661216400563717
241,1,1,00:12:42,yeah,Neutral,Positive,1,Neutral,0.23757591843605042
242,1,1,00:12:42,on what,Neutral,Neutral,0,Neutral,0.2063422929495573
243,1,1,00:12:45,oh my god peter you bought the statue of david,"anticipation,fear,joy,positive,trust",Positive,1,Neutral,0.08137363474816084
244,1,1,00:12:50,no i just rented it but theyre gonna be ticked,Neutral,Negative,-1,Neutral,6.163536384701729
245,1,1,00:12:52,the penis broke off while i was loading it into the car,"fear,negative,sadness",Negative,-1,Negative,90.23687243461609
246,1,1,00:12:58,i shall call you eduardo,Neutral,Neutral,0,Neutral,0.07004299550317228
247,1,1,00:13:00,peter how can we afford this,positive,Neutral,0,Positive,0.32073715701699257
248,1,1,00:13:02,you wont believe it mom dads getting,anticipation,Neutral,0,Neutral,3.7125278264284134
249,1,1,00:13:04,a big raise,Neutral,Positive,1,Neutral,0.07030994747765362
250,1,1,00:13:05,peter thats wonderful,"joy,positive,surprise,trust",Positive,4,Positive,0.12480095028877258
251,1,1,00:13:07,but dad i thought,anticipation,Neutral,0,Neutral,0.1660516019910574
252,1,1,00:13:11,the kind of raise thatll allow me to give my kids a big allowance just for keeping their big mouths shut come on guys,"joy,positive,trust",Positive,5,Neutral,82.21650123596191
